# Original file:
# IdnaMappingTable-5.2.0.txt- DRAFT
# Date: 2010-03-31 20:48:03 GMT [MD]
#
# Unicode IDNA Compatible Preprocessing (UTS #46)
# Copyright (c) 1991-2009 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr46/

# ================================================
# This file has been reformatted into syntax for the
# gennorm2 Normalizer2 data generator tool.
# Reformatting via regular expressions:
#   s/; disallowed   />FFFD/
#   s/; ignored      />/
#   s/^([^;]+)  ; valid/# \1valid/
#   s/; mapped     ; />/
#   s/^([^;]+)  ; deviation/# \1deviation/
#   s/   +(\#  [^\#]+)$/  \1/
#
# Except: Disallowed ASCII characters are passed through;
# they are handled in code.
# Deviation characters are also handled in code.
#
# A circular mapping FFFD>FFFD is avoided by rewriting the line that contains
# ..FFFD to contain ..FFFC instead.
#
# Use this file as the second gennorm2 input file after nfc.txt.
# ================================================

# 0000..002C (allow ASCII)  #  <control-0000>..COMMA
# 002D..002E  valid  #  HYPHEN-MINUS..FULL STOP
# 002F       (allow ASCII)  #  SOLIDUS
# 0030..0039  valid  #  DIGIT ZERO..DIGIT NINE
# 003A..0040 (allow ASCII)  #  COLON..COMMERCIAL AT
0041          >0061  #  LATIN CAPITAL LETTER A
0042          >0062  #  LATIN CAPITAL LETTER B
0043          >0063  #  LATIN CAPITAL LETTER C
0044          >0064  #  LATIN CAPITAL LETTER D
0045          >0065  #  LATIN CAPITAL LETTER E
0046          >0066  #  LATIN CAPITAL LETTER F
0047          >0067  #  LATIN CAPITAL LETTER G
0048          >0068  #  LATIN CAPITAL LETTER H
0049          >0069  #  LATIN CAPITAL LETTER I
004A          >006A  #  LATIN CAPITAL LETTER J
004B          >006B  #  LATIN CAPITAL LETTER K
004C          >006C  #  LATIN CAPITAL LETTER L
004D          >006D  #  LATIN CAPITAL LETTER M
004E          >006E  #  LATIN CAPITAL LETTER N
004F          >006F  #  LATIN CAPITAL LETTER O
0050          >0070  #  LATIN CAPITAL LETTER P
0051          >0071  #  LATIN CAPITAL LETTER Q
0052          >0072  #  LATIN CAPITAL LETTER R
0053          >0073  #  LATIN CAPITAL LETTER S
0054          >0074  #  LATIN CAPITAL LETTER T
0055          >0075  #  LATIN CAPITAL LETTER U
0056          >0076  #  LATIN CAPITAL LETTER V
0057          >0077  #  LATIN CAPITAL LETTER W
0058          >0078  #  LATIN CAPITAL LETTER X
